functional.response.block,vol.cm3,footprint.cm2,temp.C,time.d,predator,predmass.g,prey,preymass.g,mass.ratio,prey.density,prey.eaten,prey.alive
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,2,2,0
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,2,2,0
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,2,2,0
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,4,4,0
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,4,2,2
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,4,1,3
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,8,8,0
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,8,7,1
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,8,7,1
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,16,13,3
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,16,12,4
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,16,16,0
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,32,19,13
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,32,0,32
1,3424.176,407.64,7.91,1,Carcinus maenas,6.856,Echinogammarus marinus,0.047,145.8723404,32,25,7
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,2,1,1
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,2,1,1
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,2,1,1
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,4,4,0
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,4,4,0
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,4,4,0
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,8,5,3
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,8,5,3
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,8,0,8
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,16,5,11
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,16,8,8
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,16,9,7
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,32,4,28
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,32,0,32
2,3424.176,407.64,7.91,1,Lipophrys pholis,3.36,Echinogammarus marinus,0.045,74.66666667,32,10,22
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,2,2,0
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,2,2,0
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,2,2,0
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,4,4,0
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,4,4,0
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,4,4,0
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,8,8,0
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,8,7,1
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,8,7,1
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,16,15,1
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,16,14,2
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,16,10,6
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,32,13,19
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,32,17,15
3,3424.176,407.64,7.99,1,Lipophrys pholis,9.59,Echinogammarus marinus,0.049,195.7142857,32,25,7
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,2,1,1
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,2,0,2
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,2,2,0
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,4,3,1
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,4,0,4
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,4,1,3
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,8,5,3
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,8,2,6
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,8,8,0
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,16,4,12
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,16,0,16
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,16,9,7
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,32,8,24
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,32,8,24
4,11225.1,905.25,7.85,1,Carcinus maenas,25.8,Echinogammarus marinus,0.055,469.0909091,32,16,16
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,2,2,0
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,2,0,2
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,2,2,0
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,4,4,0
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,4,4,0
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,4,0,4
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,8,2,6
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,8,3,5
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,8,7,1
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,16,2,14
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,16,4,12
5,3424.176,407.64,8.03,1,Pholis gunnellus,5.705,Echinogammarus marinus,0.05,114.1,16,9,7
6,31524,1970.25,8,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,8,4,4
6,31524,1970.25,8,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,32,0,32
6,31524,1970.25,8,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,4,1,3
6,31524,1970.25,7.92,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,16,3,13
6,31524,1970.25,7.92,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,4,1,3
6,31524,1970.25,7.92,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,8,3,5
6,31524,1970.25,7.92,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,8,0,8
6,31524,1970.25,7.92,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,32,0,32
6,31524,1970.25,8,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,16,0,16
6,31524,1970.25,8.1,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,4,0,4
6,31524,1970.25,8.1,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,16,1,15
6,31524,1970.25,8.1,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,32,4,28
6,31524,1970.25,7.89,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,4,0,4
6,31524,1970.25,7.89,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,32,0,32
6,31524,1970.25,7.89,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,16,1,15
6,31524,1970.25,7.89,0.66,Carcinus maenas,102.8,Mytilus edulis,13.665,7.522868643,8,0,8
7,31524,1970.25,8,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,8,4,4
7,31524,1970.25,8,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,32,5,27
7,31524,1970.25,7.92,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,16,0,16
7,31524,1970.25,7.92,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,8,0,8
7,31524,1970.25,7.92,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,4,4,0
7,31524,1970.25,7.92,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,4,0,4
7,31524,1970.25,8,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,32,4,28
7,31524,1970.25,8,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,16,4,12
7,31524,1970.25,8,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,16,4,12
7,31524,1970.25,8,0.66,Carcinus maenas,94.025,Mytilus edulis,6.5184,14.42455204,8,0,8
